Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F
"2","Afghanistan","3102","Nutrient nitrogen N (total)","5510","Production","tonnes","23414.000000","Qm","16206.000000","Qm","19458.000000","Qm","15631.000000","Qm","17636.000000","Qm","16973.000000","Qm","15324.000000","Qm","13606.000000","Qm","12022.000000","Qm","17555.000000","Qm","15776.000000","Qm","15694.000000","Qm","14416.000000","Qm","14416.000000","Fm","14416.000000","Fm","14416.000000","Fm"
"2","Afghanistan","3102","Nutrient nitrogen N (total)","5610","Import Quantity","tonnes","1132.460000","A","4233.770000","A","2905.480000","A","4849.980000","A","3135.990000","A","7.000000","A","4.680000","A","1001.890000","A","914.390000","A","5411.940000","A","1289.250000","A","19223.360000","A","59482.340000","A","6659.570000","A","82277.390000","A","126363.300000","A"
"2","Afghanistan","3102","Nutrient nitrogen N (total)","5910","Export Quantity","tonnes","22.930000","A","32.750000","A","23.790000","Fm","14.840000","A","308.770000","Fm","602.710000","Fm","896.650000","A","452.010000","Fm","7.380000","A","0.000000","A","0.000000","A","13.570000","Fm","27.140000","A","0.000000","A","22.550000","A","5.140000","A"
"2","Afghanistan","3102","Nutrient nitrogen N (total)","5157","Agricultural Use","tonnes","24523.530000","Fb","20407.020000","Fb","22339.690000","Fb","20466.150000","Fb","20463.220000","Fb","16377.290000","Fb","14432.030000","Fb","14155.880000","Fb","12929.010000","Fb","22970.630000","Fb","17065.250000","Fb","34903.790000","Fb","73872.840000","Fb","21075.570000","Fb","96670.850000","Fb","140775.850000","Fb"
"2","Afghanistan","3103","Nutrient phosphate P2O5 (total)","5510","Production","tonnes","0.000000","Qm","0.000000","Qm",,,,,,,,,,,,,,,"1563.000000","Qm","460.000000","Qm","1539.000000","Qm","1541.000000","Fm","1541.000000","Fm","1541.000000","Fm","1541.000000","Fm"
"2","Afghanistan","3103","Nutrient phosphate P2O5 (total)","5610","Import Quantity","tonnes","61.880000","A","6731.180000","A","10848.800000","A","9122.300000","A","4669.390000","A","0.030000","A","0.000000","A","1000.140000","A","909.700000","A","5252.230000","A","799.640000","A","1455.510000","A","3567.440000","A","8581.020000","A","7450.270000","A","15115.690000","A"
"2","Afghanistan","3103","Nutrient phosphate P2O5 (total)","5910","Export Quantity","tonnes","0.000000","A","104.000000","A","52.000000","Fm","0.000000","A","294.280000","Fm","588.570000","Fm","882.850000","A","445.110000","Fm","7.380000","A","0.000000","A","0.000000","A","0.000000","E","0.000000","A","0.000000","A","0.000000","A","0.000000","A"
"2","Afghanistan","3103","Nutrient phosphate P2O5 (total)","5157","Agricultural Use","tonnes","0.000000","Z","6628.240000","Fb","10796.800000","Fb","9202.640000","Fb","4406.300000","Fb","0.000000","Z","0.000000","Z","556.230000","Fb","925.850000","Fb","6845.570000","Fb","1261.440000","Fb","3020.030000","Fb","5121.350000","Fb","10146.920000","Fb","8991.270000","Fb","16656.690000","Fb"
"2","Afghanistan","3104","Nutrient potash K2O (total)","5510","Production","tonnes","0.000000","Qm","0.000000","Qm",,,,,,,,,,,,,,,,,,,"0.000000","A","0.000000","A","0.000000","A","0.000000","A","0.000000","E"
"2","Afghanistan","3104","Nutrient potash K2O (total)","5610","Import Quantity","tonnes","3.000000","A","0.000000","A","32.880000","A","105.600000","A","0.000000","A","0.000000","A","0.000000","A","0.140000","A","0.330000","A","0.000000","A","201.600000","A","90.530000","A","6.670000","A","9.900000","A","71.730000","A","31.480000","A"
